GEOID,upper10th
170310101001,0.0
170310101002,0.0
170310101003,1.0
170310102011,1.0
170310102012,1.0
170310102013,0.0
170310102021,0.0
170310102022,1.0
170310103001,0.0
170310103002,0.0
170310103003,0.0
170310103004,1.0
170310104001,0.0
170310104002,0.0
170310104003,0.0
170310105011,1.0
170310105012,1.0
170310105013,0.0
170310105021,0.0
170310105022,0.0
170310105031,0.0
170310105032,0.0
170310106001,0.0
170310106002,0.0
170310106003,0.0
170310106004,0.0
170310107011,0.0
170310107012,0.0
170310107021,0.0
170310107022,0.0
170310107023,0.0
170310107024,0.0
170310201001,1.0
170310201002,0.0
170310202001,0.0
170310202002,0.0
170310202003,0.0
170310202004,0.0
170310203011,0.0
170310203012,0.0
170310203013,0.0
170310203021,0.0
170310203022,0.0
170310203023,0.0
170310204001,0.0
170310204002,0.0
170310204003,0.0
170310205001,0.0
170310205002,0.0
170310205003,0.0
170310205004,0.0
170310206011,0.0
170310206012,0.0
170310206013,0.0
170310206021,0.0
170310206022,0.0
170310206023,0.0
170310206024,0.0
170310207011,0.0
170310207012,0.0
170310207021,0.0
170310207022,1.0
170310207023,0.0
170310207024,0.0
170310208011,0.0
170310208012,0.0
170310208013,0.0
170310208014,0.0
170310208021,0.0
170310208022,0.0
170310208023,0.0
170310208024,0.0
170310209011,0.0
170310209012,0.0
170310209013,0.0
170310209021,0.0
170310209022,0.0
170310301011,1.0
170310301012,0.0
170310301013,0.0
170310301014,0.0
170310301021,0.0
170310301022,0.0
170310301023,0.0
170310301031,0.0
170310301032,0.0
170310301041,0.0
170310301042,0.0
170310302001,0.0
170310302002,0.0
170310302003,0.0
170310302004,0.0
170310303001,0.0
170310303002,0.0
170310304001,0.0
170310304002,0.0
170310305001,0.0
170310305002,0.0
170310305003,0.0
170310305004,0.0
170310306011,0.0
170310306012,0.0
170310306013,0.0
170310306031,0.0
170310306032,0.0
170310306041,0.0
170310306042,0.0
170310306043,0.0
170310307011,0.0
170310307021,0.0
170310307022,0.0
170310307031,0.0
170310307032,0.0
170310307033,0.0
170310307061,1.0
170310307062,0.0
170310308001,0.0
170310308002,0.0
170310308003,0.0
170310308004,0.0
170310309001,0.0
170310309002,0.0
170310309003,0.0
170310309004,0.0
170310310001,0.0
170310310002,0.0
170310310003,0.0
170310311001,0.0
170310311002,0.0
170310311003,0.0
170310312001,0.0
170310312002,0.0
170310312003,1.0
170310312004,1.0
170310313001,1.0
170310313002,0.0
170310313003,0.0
170310313004,0.0
170310313005,0.0
170310314001,0.0
170310314002,0.0
170310314003,0.0
170310314004,0.0
170310314005,0.0
170310314006,0.0
170310315011,0.0
170310315012,0.0
170310315013,0.0
170310315021,0.0
170310315022,0.0
170310315023,0.0
170310317001,0.0
170310317002,0.0
170310317003,1.0
170310317004,0.0
170310318001,0.0
170310319001,0.0
170310319002,0.0
170310321001,0.0
170310321002,0.0
170310321003,0.0
170310321004,0.0
170310321005,0.0
170310401001,0.0
170310401002,0.0
170310401003,0.0
170310402011,0.0
170310402012,0.0
170310402013,0.0
170310402014,0.0
170310402021,0.0
170310402022,0.0
170310402023,0.0
170310402024,0.0
170310403001,0.0
170310403002,0.0
170310403003,0.0
170310404011,0.0
170310404012,0.0
170310404013,0.0
170310404014,0.0
170310404021,0.0
170310404022,0.0
170310404023,0.0
170310404024,0.0
170310404025,0.0
170310406001,0.0
170310406002,0.0
170310406003,0.0
170310407001,0.0
170310407002,0.0
170310407003,0.0
170310407004,0.0
170310408001,0.0
170310408002,0.0
170310409001,0.0
170310409002,0.0
170310501001,0.0
170310501002,0.0
170310502001,0.0
170310502002,0.0
170310502003,0.0
170310503001,0.0
170310503002,0.0
170310503003,0.0
170310505001,0.0
170310505002,0.0
170310505003,0.0
170310505004,0.0
170310505005,0.0
170310506001,0.0
170310506002,0.0
170310507001,0.0
170310508001,0.0
170310509001,0.0
170310510001,0.0
170310511001,0.0
170310512001,0.0
170310512002,0.0
170310513001,0.0
170310513002,0.0
170310514001,0.0
170310514002,0.0
170310601001,0.0
170310601002,0.0
170310601003,0.0
170310602001,0.0
170310602002,0.0
170310603001,0.0
170310603002,0.0
170310604001,0.0
170310604002,0.0
170310604003,0.0
170310605001,0.0
170310608001,0.0
170310608002,0.0
170310608003,1.0
170310609001,0.0
170310609002,0.0
170310609003,0.0
170310609004,0.0
170310609005,0.0
170310610001,0.0
170310611001,0.0
170310612001,0.0
170310615001,0.0
170310618001,0.0
170310619011,0.0
170310619012,0.0
170310619013,0.0
170310619014,0.0
170310619021,0.0
170310619022,0.0
170310619023,0.0
170310619024,0.0
170310620001,0.0
170310620002,0.0
170310621001,0.0
170310621002,0.0
170310621003,0.0
170310622001,0.0
170310622002,0.0
170310623001,0.0
170310624001,0.0
170310625001,0.0
170310626001,0.0
170310627001,0.0
170310627002,0.0
170310627003,0.0
170310628001,0.0
170310628002,0.0
170310628003,0.0
170310629001,0.0
170310629002,0.0
170310629003,0.0
170310630001,0.0
170310630002,0.0
170310630003,0.0
170310631001,0.0
170310631002,0.0
170310632001,0.0
170310632002,0.0
170310632003,0.0
170310632004,0.0
170310632005,0.0
170310632006,0.0
170310633011,0.0
170310633012,0.0
170310633013,0.0
170310633021,0.0
170310633022,0.0
170310633023,0.0
170310633024,0.0
170310633031,0.0
170310633032,0.0
170310634001,0.0
170310634002,0.0
170310701011,0.0
170310701012,0.0
170310701013,0.0
170310701021,0.0
170310701022,0.0
170310701023,0.0
170310701031,0.0
170310701032,0.0
170310702001,0.0
170310702002,0.0
170310702003,0.0
170310703001,0.0
170310703002,0.0
170310704001,0.0
170310704002,0.0
170310704003,0.0
170310705001,0.0
170310705002,0.0
170310705003,0.0
170310706001,0.0
170310706002,0.0
170310707001,0.0
170310707002,0.0
170310710001,0.0
170310710002,0.0
170310711001,0.0
170310711002,0.0
170310712001,0.0
170310712002,0.0
170310713001,0.0
170310713002,0.0
170310714001,0.0
170310714002,0.0
170310714003,0.0
170310714004,0.0
170310715001,0.0
170310715002,0.0
170310715003,0.0
170310715004,0.0
170310715005,0.0
170310715006,0.0
170310716001,0.0
170310717001,0.0
170310717002,0.0
170310718001,0.0
170310718002,0.0
170310801001,0.0
170310801002,0.0
170310801003,0.0
170310801004,0.0
170310801005,0.0
170310801006,0.0
170310801007,0.0
170310802011,0.0
170310802012,0.0
170310802013,0.0
170310802021,0.0
170310802022,0.0
170310802023,0.0
170310803001,0.0
170310803002,0.0
170310803003,0.0
170310803004,0.0
170310804001,1.0
170310804002,0.0
170310804003,0.0
170310810001,0.0
170310810002,0.0
170310810003,0.0
170310810004,0.0
170310810005,0.0
170310810006,1.0
170310811001,0.0
170310811002,0.0
170310811003,0.0
170310812011,0.0
170310812012,0.0
170310812013,0.0
170310812021,0.0
170310812022,0.0
170310812023,0.0
170310812024,0.0
170310813001,0.0
170310813002,0.0
170310813003,0.0
170310813004,0.0
170310813005,0.0
170310813006,0.0
170310814011,0.0
170310814012,0.0
170310814021,1.0
170310814022,0.0
170310814023,0.0
170310814031,1.0
170310814032,0.0
170310814033,0.0
170310815001,0.0
170310815002,0.0
170310815003,0.0
170310816001,0.0
170310816002,0.0
170310817001,0.0
170310817002,0.0
170310818001,0.0
170310818002,0.0
170310818003,0.0
170310819001,0.0
170310901001,0.0
170310901002,0.0
170310901003,0.0
170310901004,0.0
170310902001,0.0
170310902002,0.0
170310902003,0.0
170310902004,0.0
170310902005,0.0
170310903001,0.0
